iter	RMSE
0	85.81639844
1	83.24710096
2	80.75473782
3	78.33751329
4	75.99201536
5	73.7174836
6	71.51118686
7	69.37089269
8	67.29457673
9	65.28073039
10	63.32797955
11	61.43347683
12	59.59621868
13	57.81402483
14	56.08534437
15	54.40915215
16	52.78285111
17	51.20544408
18	49.67589444
19	48.19229439
20	46.7532428
21	45.35770955
22	44.00386651
23	42.69075973
24	41.41753927
25	40.18245153
26	38.98482985
27	37.82321793
28	36.69650226
29	35.6038023
30	34.54428196
31	33.51664459
32	32.52011989
33	31.55387353
34	30.61665194
35	29.70784172
36	28.82657099
37	27.97196907
38	27.1434299
39	26.33995906
40	25.56079583
41	24.80524645
42	24.07290272
43	23.36268168
44	22.67417925
45	22.00647724
46	21.35925495
47	20.73190433
48	20.12377727
49	19.53376451
50	18.96232886
51	18.40842134
52	17.87150534
53	17.35120263
54	16.84678061
55	16.35812051
56	15.88460115
57	15.42558837
58	14.98101763
59	14.55006665
60	14.13258557
61	13.72811529
62	13.33658574
63	12.95720273
64	12.58939224
65	12.23358995
66	11.88896191
67	11.55565826
68	11.23265961
69	10.92003839
70	10.61763851
71	10.32507199
72	10.04102811
73	9.766339072
74	9.501517262
75	9.244907587
76	8.997001422
77	8.757446386
78	8.525628779
79	8.300718931
80	8.084517616
81	7.874840404
82	7.671024695
83	7.474013761
84	7.285700717
85	7.103010382
86	6.926237809
87	6.755042398
88	6.589554283
89	6.431741367
90	6.277915154
91	6.129960355
92	5.985740931
93	5.84874637
94	5.714941444
95	5.588676639
96	5.464307026
97	5.345338164
98	5.231078259
99	5.119662521
100	5.011616805
101	4.911029754
102	4.812666534
103	4.717747455
104	4.626882101
105	4.540416742
106	4.454406459
107	4.372022216
108	4.292492455
109	4.216340795
110	4.142223083
111	4.072383186
112	4.005467409
113	3.941361709
114	3.878539155
115	3.819012949
116	3.762042976
117	3.707712108
118	3.655106848
119	3.604927947
120	3.556617313
121	3.510496822
122	3.465343607
123	3.424221413
124	3.383682179
125	3.34471217
126	3.306500803
127	3.270194296
128	3.23575371
129	3.202374735
130	3.170873657
131	3.140549751
132	3.111689361
133	3.084204896
134	3.057751314
135	3.032825623
136	3.008020027
137	2.984503116
138	2.961623096
139	2.939943249
140	2.919414428
141	2.89981034
142	2.881638571
143	2.863081833
144	2.845732662
145	2.829179457
146	2.813161125
147	2.798182765
148	2.784079207
149	2.770210611
150	2.755643915
151	2.743094991
152	2.730746095
153	2.717962157
154	2.70615268
155	2.695108506
156	2.684662564
157	2.673288103
158	2.663483311
159	2.654124959
160	2.645074646
161	2.636583485
162	2.628024659
163	2.619631311
164	2.611781945
165	2.604191872
166	2.597039919
167	2.590229024
168	2.58365016
169	2.577357569
170	2.570825593
171	2.564651058
172	2.558867845
173	2.552333325
174	2.546762199
175	2.541740486
176	2.536356819
177	2.531266185
178	2.526342306
179	2.521107274
180	2.516354752
181	2.511790923
182	2.507418026
183	2.503075745
184	2.498504523
185	2.493876014
186	2.489876406
187	2.48589475
188	2.482073993
189	2.478290763
190	2.474613053
191	2.471072645
192	2.467663471
193	2.463226709
194	2.460024934
195	2.456791188
196	2.453681012
197	2.450454861
198	2.447364686
199	2.444330385
200	2.441273789
201	2.438371121
202	2.435721878
203	2.432276622
204	2.429499495
205	2.426972762
206	2.424350905
207	2.421646456
208	2.4191923
209	2.416607079
210	2.414118677
211	2.410790135
212	2.408234177
213	2.40586027
214	2.403497825
215	2.401135101
216	2.398863411
217	2.396560868
218	2.394317443
219	2.391392258
220	2.389131128
221	2.387085719
222	2.384952654
223	2.382575361
224	2.38051985
225	2.378482199
226	2.375376858
227	2.37343748
228	2.371437037
229	2.369508549
230	2.367643843
231	2.365825455
232	2.363907785
233	2.362053253
234	2.360189699
235	2.358360858
