iter	Passed	Remaining
0	110	88258
1	220	88022
2	334	88959
3	461	91816
4	597	94925
5	719	95246
6	844	95697
7	970	96121
8	1093	96078
9	1212	95811
10	1336	95876
11	1455	95603
12	1575	95377
13	1699	95435
14	1834	96012
15	1974	96740
16	2114	97411
17	2240	97338
18	2374	97587
19	2501	97556
20	2623	97331
21	2752	97347
22	2879	97292
23	3012	97401
24	3145	97505
25	3266	97251
26	3391	97090
27	3513	96873
28	3638	96733
29	3763	96591
30	3888	96460
31	4006	96159
32	4127	95924
33	4246	95675
34	4369	95495
35	4488	95246
36	4606	94990
37	4726	94768
38	4850	94643
39	4969	94413
40	5089	94217
41	5208	94000
42	5325	93746
43	5444	93539
44	5564	93356
45	5682	93150
46	5804	92994
47	5928	92872
48	6045	92653
49	6163	92451
50	6283	92275
51	6401	92078
52	6522	91936
53	6670	92155
54	6782	91870
55	6891	91553
56	7006	91334
57	7120	91090
58	7235	90872
59	7353	90691
60	7472	90527
61	7591	90359
62	7710	90197
63	7831	90063
64	7955	89956
65	8070	89752
66	8195	89662
67	8311	89470
68	8434	89353
69	8557	89239
70	8674	89062
71	8793	88907
72	8910	88733
73	9029	88585
74	9148	88438
75	9273	88340
76	9393	88197
77	9510	88032
78	9631	87899
79	9751	87762
80	9873	87639
81	9992	87496
82	10119	87418
83	10247	87348
84	10367	87209
85	10488	87080
86	10617	87010
87	10738	86886
88	10861	86768
89	10980	86622
90	11105	86526
91	11226	86397
92	11359	86354
93	11482	86240
94	11604	86119
95	11725	85988
96	11854	85915
97	11984	85846
98	12106	85720
99	12236	85652
100	12367	85594
101	12497	85523
102	12618	85387
103	12745	85294
104	12869	85181
105	12992	85065
106	13123	84994
107	13261	84971
108	13398	84940
109	13529	84867
110	13656	84766
111	13779	84648
112	13904	84536
113	14031	84433
114	14162	84359
115	14287	84244
116	14420	84182
117	14544	84063
118	14681	84019
119	14827	84023
120	14952	83907
121	15077	83793
122	15200	83662
123	15335	83605
124	15458	83474
125	15581	83349
126	15708	83243
127	15843	83176
128	15973	83086
129	16106	83010
130	16233	82904
131	16363	82811
132	16499	82747
133	16628	82645
134	16761	82565
135	16891	82470
136	17027	82401
137	17146	82253
138	17267	82113
139	17385	81962
140	17535	81955
141	17651	81792
142	17773	81658
143	17892	81512
144	18019	81399
145	18141	81264
146	18277	81191
147	18401	81066
148	18532	80968
149	18659	80858
150	18790	80763
151	18916	80645
152	19041	80523
153	19173	80428
154	19296	80297
155	19413	80143
156	19542	80035
157	19673	79938
158	19801	79827
159	19929	79719
160	20059	79613
161	20182	79485
162	20305	79352
163	20426	79215
164	20552	79096
165	20683	78997
166	20808	78871
167	20936	78761
168	21061	78638
169	21187	78519
170	21310	78389
171	21442	78289
172	21570	78176
173	21703	78081
174	21826	77950
175	21952	77831
176	22072	77691
177	22200	77577
178	22321	77439
179	22450	77329
180	22574	77200
181	22702	77090
182	22825	76959
183	22944	76813
184	23063	76670
185	23195	76568
186	23320	76446
187	23441	76309
188	23566	76184
189	23690	76059
190	23818	75943
191	23937	75803
192	24063	75680
193	24192	75569
194	24313	75433
195	24436	75305
196	24553	75155
197	24684	75049
198	24805	74915
199	24929	74787
200	25050	74652
201	25182	74549
202	25302	74411
203	25432	74302
204	25557	74178
205	25681	74051
206	25803	73921
207	25929	73799
208	26055	73679
209	26179	73552
210	26301	73419
211	26429	73304
212	26561	73198
213	26685	73073
214	26803	72930
215	26923	72792
216	27051	72676
217	27172	72542
218	27290	72400
219	27415	72277
220	27540	72152
221	27673	72050
222	27794	71917
223	27913	71776
224	28033	71641
225	28150	71497
226	28283	71392
227	28403	71258
228	28529	71136
229	28659	71025
230	28779	70889
231	28898	70751
232	29018	70615
233	29147	70501
234	29264	70358
235	29385	70226
236	29506	70094
237	29634	69977
238	29767	69872
239	29885	69732
240	30001	69588
241	30129	69472
242	30249	69337
243	30366	69195
244	30486	69061
245	30607	68928
246	30729	68798
247	30848	68663
248	30967	68527
249	31086	68391
250	31213	68271
251	31332	68134
252	31454	68007
253	31575	67874
254	31707	67766
255	31828	67634
256	31947	67499
257	32069	67371
258	32190	67238
259	32311	67109
260	32430	66974
261	32550	66840
262	32669	66705
263	32793	66580
264	32911	66442
265	33031	66312
266	33148	66172
267	33267	66037
268	33391	65913
269	33510	65780
270	33630	65647
271	33747	65510
272	33873	65390
273	33993	65256
274	34112	65124
275	34239	65005
276	34363	64881
277	34483	64749
278	34604	64620
279	34725	64489
280	34846	64361
281	34974	64243
282	35095	64113
283	35223	63997
284	35347	63874
285	35472	63750
286	35592	63619
287	35711	63487
288	35836	63364
289	35956	63233
290	36077	63104
291	36198	62976
292	36315	62840
293	36439	62716
294	36564	62593
295	36682	62459
296	36801	62327
297	36919	62193
298	37050	62081
299	37171	61951
300	37291	61822
301	37411	61691
302	37536	61569
303	37656	61439
304	37773	61303
305	37893	61173
306	38009	61037
307	38130	60909
308	38248	60776
309	38369	60648
310	38499	60534
311	38625	60414
312	38749	60291
313	38868	60159
314	38991	60034
315	39117	59914
316	39243	59794
317	39364	59665
318	39482	59532
319	39604	59406
320	39729	59284
321	39848	59153
322	39966	59021
323	40086	58892
324	40207	58765
325	40335	58646
326	40456	58519
